label,original_train_count,class_weight
0,669,0.5836459994316101
1,292,0.8834279775619507
2,156,1.2086492776870728
3,631,0.600963294506073
4,302,0.868678629398346
5,303,0.8672439455986023
6,221,1.0154684782028198
7,500,0.6751147508621216
8,535,0.6526579856872559
9,331,0.8297525644302368
10,513,0.666505753993988
11,242,0.9704092741012573
12,103,1.4874554872512817
13,245,0.9644495844841003
14,516,0.66456538438797
15,989,0.495236337184906
16,532,0.6544956564903259
17,88,1.6092416048049927
18,512,0.6671562790870667
19,294,0.8804180026054382
20,287,0.8910901546478271
21,317,0.8478772640228271
22,1018,0.495236337184906
23,642,0.5957925319671631
24,2456,0.495236337184906
25,339,0.8199034929275513
26,414,0.7419290542602539
27,392,0.7624643445014954
28,195,1.0810487270355225
29,424,0.733127772808075
30,291,0.8849446773529053
31,139,1.2804280519485474
32,147,1.2450991868972778
33,175,1.141152024269104
34,203,1.0595332384109497
35,82,1.6670770645141602
36,62,1.9171968698501587
37,473,0.694115936756134
38,513,0.666505753993988
39,962,0.495236337184906
40,179,1.128329873085022
41,162,1.1860556602478027
42,184,1.1128937005996704
43,114,1.413872241973877
44,314,0.8519179224967957
45,639,0.5971894860267639
46,393,0.7614936828613281
47,492,0.6805813312530518
48,836,0.522106945514679
49,392,0.7624643445014954
50,845,0.5193189978599548
51,1138,0.495236337184906
52,156,1.2086492776870728
53,106,1.46625554561615
54,527,0.6575931906700134
55,111,1.4328511953353882
56,281,0.9005533456802368
57,228,0.9997586607933044
58,840,0.5208622813224792
59,212,1.0367991924285889
60,105,1.4732211828231812
61,47,2.201981544494629
62,169,1.1612327098846436
63,50,2.1349003314971924
64,184,1.1128937005996704
65,84,1.6471112966537476
66,458,0.7053908705711365
67,3186,0.495236337184906
68,690,0.5746958255767822
69,767,0.5450858473777771
70,3048,0.495236337184906
71,415,0.7410346865653992
72,42,2.3293673992156982
73,269,0.92042076587677
74,231,0.9932454824447632
75,103,1.4874554872512817
76,433,0.7254685759544373
77,251,0.9528526663780212
78,154,1.2164723873138428
79,135,1.2992589473724365
80,44,2.275811195373535
81,59,1.9653350114822388
82,414,0.7419290542602539
83,232,0.9911024570465088
84,263,0.930860698223114
85,100,1.509602427482605
86,782,0.5398327708244324
87,186,1.1068942546844482
88,242,0.9704092741012573
89,113,1.420114517211914
90,135,1.2992589473724365
91,210,1.0417245626449585
92,484,0.686182975769043
93,303,0.8672439455986023
94,346,0.8115672469139099
95,292,0.8834279775619507
96,126,1.3448607921600342
97,183,1.1159303188323975
98,55,2.0355477333068848
99,333,0.8272570371627808
100,274,0.9119841456413269
101,3444,0.495236337184906
