fine_label,class_number,class_name,coarse_label,coarse_name,is_merged,cluster_name
0,1,rice leaf roller,8,rice leaf roller,False,
1,2,rice leaf caterpillar,9,rice leaf caterpillar,False,
2,3,paddy stem maggot,10,paddy stem maggot,False,
3,4,asiatic rice borer,11,asiatic rice borer,False,
4,5,yellow rice borer,12,yellow rice borer,False,
5,6,rice gall midge,13,rice gall midge,False,
6,7,Rice Stemfly,14,Rice Stemfly,False,
7,8,brown plant hopper,1,plant_hoppers,True,plant_hoppers
8,9,white backed plant hopper,1,plant_hoppers,True,plant_hoppers
9,10,small brown plant hopper,1,plant_hoppers,True,plant_hoppers
10,11,rice water weevil,15,rice water weevil,False,
11,12,rice leafhopper,16,rice leafhopper,False,
12,13,grain spreader thrips,17,grain spreader thrips,False,
13,14,rice shell pest,18,rice shell pest,False,
14,15,grub,19,grub,False,
15,16,mole cricket,20,mole cricket,False,
16,17,wireworm,21,wireworm,False,
17,18,white margined moth,22,white margined moth,False,
18,19,black cutworm,0,cutworms,True,cutworms
19,20,large cutworm,0,cutworms,True,cutworms
20,21,yellow cutworm,0,cutworms,True,cutworms
21,22,red spider,6,mites,True,mites
22,23,corn borer,23,corn borer,False,
23,24,army worm,3,army_worms,True,army_worms
24,25,aphids,5,aphids,True,aphids
25,26,Potosiabre vitarsis,24,Potosiabre vitarsis,False,
26,27,peach borer,25,peach borer,False,
27,28,english grain aphid,5,aphids,True,aphids
28,29,green bug,5,aphids,True,aphids
29,30,bird cherry-oataphid,5,aphids,True,aphids
30,31,wheat blossom midge,26,wheat blossom midge,False,
31,32,penthaleus major,6,mites,True,mites
32,33,longlegged spider mite,6,mites,True,mites
33,34,wheat phloeothrips,27,wheat phloeothrips,False,
34,35,wheat sawfly,28,wheat sawfly,False,
35,36,cerodonta denticornis,29,cerodonta denticornis,False,
36,37,beet fly,30,beet fly,False,
37,38,flea beetle,31,flea beetle,False,
38,39,cabbage army worm,3,army_worms,True,army_worms
39,40,beet army worm,3,army_worms,True,army_worms
40,41,Beet spot flies,32,Beet spot flies,False,
41,42,meadow moth,33,meadow moth,False,
42,43,beet weevil,34,beet weevil,False,
43,44,sericaorient alismots chulsky,35,sericaorient alismots chulsky,False,
44,45,alfalfa weevil,36,alfalfa weevil,False,
45,46,flax budworm,3,army_worms,True,army_worms
46,47,alfalfa plant bug,7,plant_bugs_and_miridae,True,plant_bugs_and_miridae
47,48,tarnished plant bug,7,plant_bugs_and_miridae,True,plant_bugs_and_miridae
48,49,Locustoidea,37,Locustoidea,False,
49,50,lytta polita,4,blister_beetles,True,blister_beetles
50,51,legume blister beetle,4,blister_beetles,True,blister_beetles
51,52,blister beetle,4,blister_beetles,True,blister_beetles
52,53,therioaphis maculata Buckton,5,aphids,True,aphids
53,54,odontothrips loti,38,odontothrips loti,False,
54,55,Thrips,39,Thrips,False,
55,56,alfalfa seed chalcid,40,alfalfa seed chalcid,False,
56,57,Pieris canidia,41,Pieris canidia,False,
57,58,Apolygus lucorum,7,plant_bugs_and_miridae,True,plant_bugs_and_miridae
58,59,Limacodidae,42,Limacodidae,False,
59,60,Viteus vitifoliae,43,Viteus vitifoliae,False,
60,61,Colomerus vitis,6,mites,True,mites
61,62,Brevipoalpus lewisi McGregor,44,Brevipoalpus lewisi McGregor,False,
62,63,oides decempunctata,45,oides decempunctata,False,
63,64,Polyphagotars onemus latus,6,mites,True,mites
64,65,Pseudococcus comstocki Kuwana,46,Pseudococcus comstocki Kuwana,False,
65,66,parathrene regalis,47,parathrene regalis,False,
66,67,Ampelophaga,48,Ampelophaga,False,
67,68,Lycorma delicatula,49,Lycorma delicatula,False,
68,69,Xylotrechus,50,Xylotrechus,False,
69,70,Cicadella viridis,51,Cicadella viridis,False,
70,71,Miridae,7,plant_bugs_and_miridae,True,plant_bugs_and_miridae
71,72,Trialeurodes vaporariorum,52,Trialeurodes vaporariorum,False,
72,73,Erythroneura apicalis,53,Erythroneura apicalis,False,
73,74,Papilio xuthus,54,Papilio xuthus,False,
74,75,Panonchus citri McGregor,6,mites,True,mites
75,76,Phyllocoptes oleiverus ashmead,55,Phyllocoptes oleiverus ashmead,False,
76,77,Icerya purchasi Maskell,56,Icerya purchasi Maskell,False,
77,78,Unaspis yanonensis,57,Unaspis yanonensis,False,
78,79,Ceroplastes rubens,58,Ceroplastes rubens,False,
79,80,Chrysomphalus aonidum,59,Chrysomphalus aonidum,False,
80,81,Parlatoria zizyphus Lucus,60,Parlatoria zizyphus Lucus,False,
81,82,Nipaecoccus vastalor,61,Nipaecoccus vastalor,False,
82,83,Aleurocanthus spiniferus,62,Aleurocanthus spiniferus,False,
83,84,Tetradacus c Bactrocera minax,2,fruit_flies,True,fruit_flies
84,85,Dacus dorsalis(Hendel),2,fruit_flies,True,fruit_flies
85,86,Bactrocera tsuneonis,2,fruit_flies,True,fruit_flies
86,87,Prodenia litura,3,army_worms,True,army_worms
87,88,Adristyrannus,63,Adristyrannus,False,
88,89,Phyllocnistis citrella Stainton,64,Phyllocnistis citrella Stainton,False,
89,90,Toxoptera citricidus,5,aphids,True,aphids
90,91,Toxoptera aurantii,5,aphids,True,aphids
91,92,Aphis citricola Vander Goot,5,aphids,True,aphids
92,93,Scirtothrips dorsalis Hood,65,Scirtothrips dorsalis Hood,False,
93,94,Dasineura sp,66,Dasineura sp,False,
94,95,Lawana imitata Melichar,67,Lawana imitata Melichar,False,
95,96,Salurnis marginella Guerr,68,Salurnis marginella Guerr,False,
96,97,Deporaus marginatus Pascoe,69,Deporaus marginatus Pascoe,False,
97,98,Chlumetia transversa,70,Chlumetia transversa,False,
98,99,Mango flat beak leafhopper,71,Mango flat beak leafhopper,False,
99,100,Rhytidodera bowrinii white,72,Rhytidodera bowrinii white,False,
100,101,Sternochetus frigidus,73,Sternochetus frigidus,False,
101,102,Cicadellidae,74,Cicadellidae,False,
